29
         562568 function calls (559153 primitive calls) in 10.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 collections.py:884(__init__)
        4    0.002    0.001    0.002    0.001 {posix.fork}
        1    0.000    0.000    0.002    0.002 plistlib.py:51(<module>)
        1    0.001    0.001    0.002    0.002 random.py:40(<module>)
  218/152    0.000    0.000    0.002    0.000 {hash}
    68/64    0.001    0.000    0.002    0.000 transforms.py:1733(transform)
      140    0.000    0.000    0.002    0.000 cm.py:57(_generate_cmap)
        2    0.000    0.000    0.002    0.001 contour.py:963(changed)
        1    0.001    0.001    0.002    0.002 urllib.py:23(<module>)
       28    0.002    0.000    0.002    0.000 {dir}
     5104    0.002    0.000    0.002    0.000 {getattr}
       21    0.000    0.000    0.002    0.000 lines.py:440(_transform_path)
      257    0.002    0.000    0.002    0.000 artist.py:74(__init__)
        1    0.000    0.000    0.002    0.002 texmanager.py:34(<module>)
       66    0.000    0.000    0.002    0.000 font_manager.py:689(__hash__)
        1    0.001    0.001    0.002    0.002 parser.py:7(<module>)
        1    0.002    0.002    0.002    0.002 transforms.py:30(<module>)
        1    0.000    0.000    0.002    0.002 collections.py:232(draw)
      227    0.001    0.000    0.002    0.000 artist.py:648(update)
      379    0.002    0.000    0.002    0.000 {posix.lstat}
       21    0.000    0.000    0.002    0.000 transforms.py:2217(__init__)
      534    0.001    0.000    0.002    0.000 cbook.py:431(is_string_like)
        3    0.000    0.000    0.002    0.001 transforms.py:1546(clear)
        1    0.000    0.000    0.002    0.002 axes.py:337(Axes)
        1    0.000    0.000    0.002    0.002 arrayprint.py:4(<module>)
        1    0.000    0.000    0.002    0.002 plistlib.py:68(readPlist)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
       40    0.000    0.000    0.002    0.000 pkg_resources.py:2136(from_location)
       24    0.002    0.000    0.002    0.000 {posix.listdir}
        1    0.001    0.001    0.002    0.002 plistlib.py:400(parse)
        2    0.000    0.000    0.002    0.001 cm.py:185(to_rgba)
       24    0.000    0.000    0.002    0.000 transforms.py:1156(transform_path_non_affine)
        1    0.001    0.001    0.002    0.002 heapq.py:31(<module>)
     16/8    0.000    0.000    0.002    0.000 __init__.py:265(wrapper)
        1    0.001    0.001    0.002    0.002 basic.py:5(<module>)
        2    0.001    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:3(<module>)
     3627    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.002    0.002 collections.py:75(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:701(rc_params)
       42    0.000    0.000    0.002    0.000 pyparsing_py2.py:704(copy)
       44    0.000    0.000    0.002    0.000 copy.py:66(copy)
        1    0.000    0.000    0.002    0.002 textwrap.py:348(fill)
      263    0.001    0.000    0.002    0.000 transforms.py:1411(transform)
        6    0.000    0.000    0.002    0.000 colors.py:356(to_rgba_array)
        2    0.000    0.000    0.002    0.001 axes.py:1822(autoscale_view)
        1    0.000    0.000    0.002    0.002 compat.py:3(<module>)
       44    0.000    0.000    0.002    0.000 transforms.py:1762(transform_non_affine)
        4    0.000    0.000    0.002    0.000 __init__.py:468(_get_configdir)
     1183    0.001    0.000    0.002    0.000 core.py:5641(isMaskedArray)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
        2    0.000    0.000    0.002    0.001 axis.py:929(_update_ticks)
        1    0.001    0.001    0.002    0.002 image.py:5(<module>)
      639    0.001    0.000    0.002    0.000 cbook.py:422(iterable)
        1    0.000    0.000    0.002    0.002 contour.py:1055(_process_colors)
      274    0.001    0.000    0.002    0.000 {numpy.core._dotblas.dot}
       71    0.000    0.000    0.002    0.000 docstring.py:117(<lambda>)
        1    0.001    0.001    0.002    0.002 mlab.py:142(<module>)
        6    0.000    0.000    0.002    0.000 pyparsing_py2.py:3064(__init__)
        1    0.000    0.000    0.002    0.002 cm.py:261(set_clim)
     1404    0.001    0.000    0.002    0.000 artist.py:886(is_alias)
        1    0.001    0.001    0.002    0.002 offsetbox.py:15(<module>)
        2    0.000    0.000    0.002    0.001 backend_agg.py:439(get_renderer)
    88/68    0.000    0.000    0.001    0.000 transforms.py:1913(transform)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       20    0.000    0.000    0.001    0.000 transforms.py:1120(transform_point)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:2(<module>)
       10    0.000    0.000    0.001    0.000 colors.py:696(from_list)
     12/6    0.000    0.000    0.001    0.000 pyparsing_py2.py:2685(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 backend_agg.py:76(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
       21    0.000    0.000    0.001    0.000 backend_agg.py:106(draw_markers)
        1    0.000    0.000    0.001    0.001 contour.py:1287(_contour_args)
       29    0.001    0.000    0.001    0.000 function_base.py:3380(delete)
        1    0.001    0.001    0.001    0.001 rrule.py:6(<module>)
       81    0.000    0.000    0.001    0.000 transforms.py:1874(__init__)
        6    0.000    0.000    0.001    0.000 backend_agg.py:123(draw_path)
     3530    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.001    0.001 numeric.py:1437(array_str)
        1    0.000    0.000    0.001    0.001 markers.py:21(MarkerStyle)
        2    0.000    0.000    0.001    0.001 arrayprint.py:335(array2string)
        6    0.001    0.000    0.001    0.000 {built-in method draw_path}
        4    0.000    0.000    0.001    0.000 __init__.py:184(_is_writable_dir)
       12    0.000    0.000    0.001    0.000 axis.py:880(iter_ticks)
       21    0.001    0.000    0.001    0.000 {built-in method draw_markers}
        2    0.000    0.000    0.001    0.001 colors.py:493(__call__)
       20    0.000    0.000    0.001    0.000 axis.py:319(_get_text1_transform)
        2    0.000    0.000    0.001    0.001 arrayprint.py:225(_array2string)
        1    0.000    0.000    0.001    0.001 figure.py:227(__init__)
       38    0.000    0.000    0.001    0.000 transforms.py:730(unit)
        1    0.000    0.000    0.001    0.001 backend_agg.py:109(draw_path_collection)
        1    0.001    0.001    0.001    0.001 {built-in method draw_path_collection}
       20    0.000    0.000    0.001    0.000 axes.py:591(get_xaxis_text1_transform)
       47    0.000    0.000    0.001    0.000 pyplot.py:1949(<lambda>)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
       29    0.001    0.000    0.001    0.000 {numpy.linalg.lapack_lite.zgetrf}
       40    0.000    0.000    0.001    0.000 pkg_resources.py:2122(__init__)
       70    0.000    0.000    0.001    0.000 cm.py:45(_reverse_cmap_spec)
        4    0.000    0.000    0.001    0.000 spines.py:261(draw)
        1    0.000    0.000    0.001    0.001 texmanager.py:76(TexManager)
