number of electrons 5
[[ 1.01279911  0.32329498]
 [ 1.1709741   1.20945125]
 [ 1.4161607   0.68041347]
 [ 1.10698975  1.34744279]]
         251990 function calls (248557 primitive calls) in 1.442 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.005    0.000 axis.py:167(set_clip_path)
        1    0.000    0.000    0.005    0.005 contour.py:1238(_process_args)
        9    0.000    0.000    0.005    0.001 pyparsing_py2.py:1685(__init__)
       26    0.000    0.000    0.005    0.000 backend_agg.py:184(get_text_width_height_descent)
        1    0.001    0.001    0.005    0.005 textpath.py:3(<module>)
        3    0.003    0.001    0.005    0.002 codata.py:780(parse_constants)
        1    0.004    0.004    0.005    0.005 hermite.py:59(<module>)
     1272    0.003    0.000    0.005    0.000 transforms.py:81(__init__)
     1002    0.002    0.000    0.005    0.000 transforms.py:1322(__init__)
        1    0.004    0.004    0.005    0.005 chebyshev.py:87(<module>)
    10128    0.005    0.000    0.005    0.000 {isinstance}
        1    0.000    0.000    0.005    0.005 platform.py:792(mac_ver)
        1    0.001    0.001    0.005    0.005 platform.py:771(_mac_ver_xml)
        1    0.001    0.001    0.005    0.005 __init__.py:60(<module>)
        1    0.001    0.001    0.005    0.005 artist.py:1(<module>)
        1    0.001    0.001    0.005    0.005 cm.py:6(<module>)
        1    0.004    0.004    0.005    0.005 laguerre.py:59(<module>)
        1    0.004    0.004    0.005    0.005 hermite_e.py:59(<module>)
        1    0.002    0.002    0.005    0.005 numeric.py:1(<module>)
       42    0.000    0.000    0.005    0.000 lines.py:650(get_path)
     3175    0.003    0.000    0.005    0.000 sre_parse.py:130(__getitem__)
        1    0.004    0.004    0.005    0.005 legendre.py:83(<module>)
        2    0.000    0.000    0.005    0.002 pyparsing_py2.py:3391(srange)
        2    0.000    0.000    0.004    0.002 pyparsing_py2.py:1058(parseString)
        1    0.001    0.001    0.004    0.004 shutil.py:5(<module>)
      504    0.001    0.000    0.004    0.000 posixpath.py:130(islink)
      625    0.003    0.000    0.004    0.000 posixpath.py:60(join)
        2    0.000    0.000    0.004    0.002 pyplot.py:2462(plot)
       22    0.000    0.000    0.004    0.000 pkg_resources.py:2395(check_version_conflict)
        1    0.002    0.002    0.004    0.004 sysconfig.py:252(parse_config_h)
        2    0.000    0.000    0.004    0.002 axes.py:3769(plot)
        3    0.000    0.000    0.004    0.001 figure.py:304(_set_dpi)
      430    0.000    0.000    0.004    0.000 pkg_resources.py:1896(_normalize_cached)
        1    0.001    0.001    0.004    0.004 __init__.py:3(<module>)
    174/2    0.001    0.000    0.004    0.002 pyparsing_py2.py:926(_parseNoCache)
     30/2    0.000    0.000    0.004    0.002 pyparsing_py2.py:2406(parseImpl)
        1    0.000    0.000    0.004    0.004 contour.py:1287(_contour_args)
      167    0.001    0.000    0.004    0.000 cbook.py:1017(dedent)
       20    0.000    0.000    0.004    0.000 axis.py:360(_get_text2)
       43    0.000    0.000    0.004    0.000 patches.py:162(get_transform)
     3454    0.004    0.000    0.004    0.000 __init__.py:676(__getitem__)
        1    0.001    0.001    0.004    0.004 index_tricks.py:1(<module>)
      222    0.001    0.000    0.004    0.000 numeric.py:1884(identity)
       50    0.000    0.000    0.004    0.000 markers.py:589(_set_tickup)
      159    0.000    0.000    0.004    0.000 docstring.py:86(dedent)
       50    0.000    0.000    0.004    0.000 markers.py:582(_set_tickright)
18727/18064    0.003    0.000    0.004    0.000 {len}
       50    0.000    0.000    0.004    0.000 markers.py:595(_set_tickdown)
     56/2    0.000    0.000    0.004    0.002 pyparsing_py2.py:2679(parseImpl)
       50    0.000    0.000    0.004    0.000 markers.py:576(_set_tickleft)
        2    0.000    0.000    0.004    0.002 pyparsing_py2.py:2826(parseImpl)
       52    0.003    0.000    0.004    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
    10386    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       39    0.001    0.000    0.004    0.000 backend_agg.py:235(_get_agg_font)
       13    0.004    0.000    0.004    0.000 {built-in method draw_text_image}
        1    0.000    0.000    0.004    0.004 figure.py:13(<module>)
     20/8    0.000    0.000    0.003    0.000 pyparsing_py2.py:2531(parseImpl)
        1    0.001    0.001    0.003    0.003 tempfile.py:18(<module>)
        4    0.003    0.001    0.003    0.001 {posix.fork}
      575    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.003    0.003 triangulation.py:1(<module>)
       22    0.000    0.000    0.003    0.000 transforms.py:2241(get_transformed_points_and_affine)
      109    0.001    0.000    0.003    0.000 transforms.py:703(__init__)
       87    0.000    0.000    0.003    0.000 docstring.py:103(dedent_interpd)
      327    0.001    0.000    0.003    0.000 transforms.py:127(set_children)
        1    0.001    0.001    0.003    0.003 contour.py:4(<module>)
        1    0.001    0.001    0.003    0.003 legend.py:13(<module>)
        1    0.000    0.000    0.003    0.003 markers.py:5(<module>)
       22    0.000    0.000    0.003    0.000 transforms.py:2231(_revalidate)
        3    0.000    0.000    0.003    0.001 numeric.py:1437(array_str)
        3    0.000    0.000    0.003    0.001 arrayprint.py:335(array2string)
        1    0.003    0.003    0.003    0.003 mathtext.py:19(<module>)
        1    0.001    0.001    0.003    0.003 collections.py:1(<module>)
        1    0.000    0.000    0.003    0.003 contour.py:1310(_check_xyz)
        3    0.000    0.000    0.003    0.001 arrayprint.py:225(_array2string)
        1    0.000    0.000    0.003    0.003 pyparsing_py2.py:3501(makeHTMLTags)
        1    0.000    0.000    0.003    0.003 pyparsing_py2.py:3472(_makeTags)
        1    0.000    0.000    0.003    0.003 backend_tkagg.py:178(__init__)
        1    0.002    0.002    0.003    0.003 basic.py:5(<module>)
     1123    0.002    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        1    0.001    0.001    0.003    0.003 widgets.py:10(<module>)
      145    0.001    0.000    0.003    0.000 colors.py:318(to_rgba)
       81    0.000    0.000    0.003    0.000 transforms.py:2179(__init__)
       39    0.003    0.000    0.003    0.000 {method 'set_text' of 'FT2Font' objects}
        7    0.000    0.000    0.003    0.000 core.py:2626(__new__)
        5    0.000    0.000    0.003    0.001 core.py:6878(asarray)
      504    0.003    0.000    0.003    0.000 {posix.lstat}
        1    0.000    0.000    0.003    0.003 _internal.py:4(<module>)
        1    0.003    0.003    0.003    0.003 backend_agg.py:22(<module>)
        1    0.001    0.001    0.003    0.003 axes3d.py:11(<module>)
       39    0.000    0.000    0.003    0.000 patches.py:547(get_patch_transform)
        6    0.000    0.000    0.003    0.000 patches.py:371(draw)
       58    0.000    0.000    0.003    0.000 transforms.py:748(from_extents)
        1    0.002    0.002    0.003    0.003 pickle.py:25(<module>)
       39    0.000    0.000    0.003    0.000 patches.py:534(_update_patch_transform)
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:74(__init__)
       54    0.000    0.000    0.003    0.000 transforms.py:738(from_bounds)
       46    0.000    0.000    0.003    0.000 pkg_resources.py:2136(from_location)
        1    0.002    0.002    0.003    0.003 random.py:40(<module>)
       85    0.001    0.000    0.003    0.000 text.py:150(__init__)
      520    0.003    0.000    0.003    0.000 weakref.py:261(__setitem__)
       20    0.000    0.000    0.003    0.000 axis.py:322(_get_text2_transform)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
    13548    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.003    0.003 parser.py:7(<module>)
        1    0.002    0.002    0.003    0.003 socket.py:45(<module>)
       20    0.000    0.000    0.003    0.000 axes.py:617(get_xaxis_text2_transform)
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
      126    0.000    0.000    0.003    0.000 transforms.py:1046(__add__)
        8    0.000    0.000    0.002    0.000 Tkinter.py:3239(__init__)
      222    0.002    0.000    0.002    0.000 twodim_base.py:169(eye)
       20    0.000    0.000    0.002    0.000 axis.py:341(_get_text1)
     3057    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       20    0.000    0.000    0.002    0.000 axis.py:500(_get_text2)
        8    0.000    0.000    0.002    0.000 Tkinter.py:3180(__init__)
       24    0.002    0.000    0.002    0.000 {posix.listdir}
     2673    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
     1288    0.002    0.000    0.002    0.000 weakref.py:243(__init__)
     2577    0.002    0.000    0.002    0.000 {method 'readline' of 'file' objects}
      105    0.001    0.000    0.002    0.000 font_manager.py:643(__init__)
        1    0.000    0.000    0.002    0.002 warnings.py:24(_show_warning)
       20    0.000    0.000    0.002    0.000 axis.py:484(_get_text1)
        1    0.000    0.000    0.002    0.002 warnings.py:36(formatwarning)
        3    0.000    0.000    0.002    0.001 axes.py:1822(autoscale_view)
        1    0.000    0.000    0.002    0.002 plistlib.py:51(<module>)
        1    0.000    0.000    0.002    0.002 linecache.py:13(getline)
        1    0.000    0.000    0.002    0.002 linecache.py:33(getlines)
        1    0.000    0.000    0.002    0.002 linecache.py:68(updatecache)
  218/152    0.000    0.000    0.002    0.000 {hash}
      126    0.000    0.000    0.002    0.000 transforms.py:2005(composite_transform_factory)
    68/64    0.001    0.000    0.002    0.000 transforms.py:1733(transform)
        1    0.001    0.001    0.002    0.002 arrayprint.py:4(<module>)
        1    0.001    0.001    0.002    0.002 texmanager.py:34(<module>)
        3    0.000    0.000    0.002    0.001 transforms.py:1546(clear)
        2    0.000    0.000    0.002    0.001 contour.py:963(changed)
