29
         229690 function calls (226275 primitive calls) in 1.378 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 cm.py:261(set_clim)
        1    0.000    0.000    0.001    0.001 figure.py:227(__init__)
        6    0.001    0.000    0.001    0.000 {built-in method draw_path}
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:2(<module>)
        1    0.000    0.000    0.001    0.001 backend_agg.py:76(__init__)
       23    0.000    0.000    0.001    0.000 text.py:678(get_prop_tup)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       20    0.000    0.000    0.001    0.000 axis.py:319(_get_text1_transform)
        1    0.000    0.000    0.001    0.001 table.py:21(<module>)
        7    0.000    0.000    0.001    0.000 transforms.py:671(union)
       70    0.000    0.000    0.001    0.000 cm.py:45(_reverse_cmap_spec)
        4    0.000    0.000    0.001    0.000 __init__.py:184(_is_writable_dir)
        1    0.000    0.000    0.001    0.001 textwrap.py:107(__init__)
       20    0.000    0.000    0.001    0.000 axes.py:591(get_xaxis_text1_transform)
       13    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'FT2Font' objects}
